AZCAPOTZALCO,19,1,5/20/2013
BENITO JUAREZ,51,6,5/20/2013
BENITO JUAREZ,45,1,5/20/2013
CUAJIMALPA DE MORELOS,44,1,5/20/2013
CUAUHTEMOC,7,3,5/20/2013
CUAUHTEMOC,8,3,5/20/2013
CUAUHTEMOC,1,3,5/20/2013
CUAUHTEMOC,6,1,5/20/2013
GUSTAVO A. MADERO,13,4,5/20/2013
IZTAPALAPA,26,4,5/20/2013
MAGDALENA CONTRERAS,27,1,5/20/2013
MIGUEL HIDALGO,11,3,5/20/2013
TLALPAN,31,3,5/20/2013
TLALPAN,30,1,5/20/2013
VENUSTIANO CARRANZA,2,3,5/20/2013
ALVARO OBREGON,46,1,5/21/2013
AZCAPOTZALCO,19,2,5/21/2013
BENITO JUAREZ,51,3,5/21/2013
BENITO JUAREZ,45,2,5/21/2013
BENITO JUAREZ,10,1,5/21/2013
CUAUHTEMOC,7,3,5/21/2013
CUAUHTEMOC,1,2,5/21/2013
CUAUHTEMOC,6,1,5/21/2013
GUSTAVO A. MADERO,13,25,5/21/2013
GUSTAVO A. MADERO,33,3,5/21/2013
GUSTAVO A. MADERO,23,3,5/21/2013
GUSTAVO A. MADERO,50,2,5/21/2013
GUSTAVO A. MADERO,22,1,5/21/2013
IZTACALCO,34,2,5/21/2013
IZTAPALAPA,40,31,5/21/2013
IZTAPALAPA,48,4,5/21/2013
IZTAPALAPA,26,2,5/21/2013
MIGUEL HIDALGO,9,4,5/21/2013
MIGUEL HIDALGO,11,1,5/21/2013
TLALPAN,35,1,5/21/2013
VENUSTIANO CARRANZA,2,2,5/21/2013
VENUSTIANO CARRANZA,3,1,5/21/2013
ALVARO OBREGON,18,5,5/22/2013
ALVARO OBREGON,17,4,5/22/2013
AZCAPOTZALCO,47,4,5/22/2013
BENITO JUAREZ,10,2,5/22/2013
BENITO JUAREZ,45,1,5/22/2013
COYOACAN,20,10,5/22/2013
CUAUHTEMOC,1,3,5/22/2013
CUAUHTEMOC,6,2,5/22/2013
CUAUHTEMOC,8,2,5/22/2013
CUAUHTEMOC,7,1,5/22/2013
GUSTAVO A. MADERO,33,11,5/22/2013
GUSTAVO A. MADERO,13,7,5/22/2013
GUSTAVO A. MADERO,23,4,5/22/2013
GUSTAVO A. MADERO,22,4,5/22/2013
IZTACALCO,24,6,5/22/2013
IZTACALCO,34,4,5/22/2013
IZTAPALAPA,25,7,5/22/2013
IZTAPALAPA,26,5,5/22/2013
MIGUEL HIDALGO,11,1,5/22/2013
MIGUEL HIDALGO,41,1,5/22/2013
MIGUEL HIDALGO,42,1,5/22/2013
TLAHUAC,4,5,5/22/2013
TLALPAN,30,4,5/22/2013
TLALPAN,35,3,5/22/2013
